"From Date","PM2_5","PM10","NO2","SO2","CO_ug","Ozone","Temp","RH","WS","BP","WD","RF"
2010-01-01,0,0,32.5910833333333,5.99941666666667,0,29.30725,7.82241666666667,42.7784166666667,0.188166666666667,392.4115,44.8626666666667,0
2010-01-02,0,0,44.2303333333333,6.78516666666667,0,16.4588333333333,5.96441666666667,53.5558333333333,0.259833333333333,393.107666666667,21.8178333333333,0
2010-01-03,0,0,32.0898333333333,5.33241666666667,0,17.2346666666667,5.96883333333333,45.5185,0.39625,310.380583333333,27.09425,0
2010-01-04,0,0,14.3835877862595,3.83717557251908,0,18.3846564885496,6.87824427480916,52.3998473282443,0.930458015267176,426.012824427481,47.7687786259542,0
2010-01-05,0,0,36.0459027777778,3.76513888888889,0,22.12875,8.07027777777778,54.3784722222222,1.009375,471.394236111111,36.5173611111111,0
2010-01-06,0,0,75.5484722222222,7.55597222222222,0,23.7934027777778,8.23673611111111,56.5294444444444,0.68375,473.716458333333,18.6545138888889,0
2010-01-07,0,0,49.6747916666667,8.05826388888889,0,18.3959722222222,7.915,59.0126388888889,0.421388888888889,474.182083333333,42.6443055555556,0
2010-01-08,0,0,26.7763194444444,5.91375,0,7.87673611111111,6.78680555555556,63.0804861111111,0.359652777777778,472.21375,46.6629861111111,0
2010-01-09,0,0,18.7947222222222,4.70465277777778,0,13.0597222222222,7.58381944444444,56.4242361111111,1.13756944444444,472.549166666667,45.4554166666667,0
2010-01-10,0,0,18.1735416666667,3.83604166666667,0,9.94888888888889,5.40583333333333,52.721875,0.550902777777778,410.402986111111,27.7965277777778,0
2010-01-11,0,0,17.7486805555556,3.53569444444444,0,15.9950694444444,4.48444444444445,41.3420138888889,0.832013888888889,306.238263888889,0,0
2010-01-12,0,0,38.0331944444444,5.23173611111111,0,18.2455555555556,5.48972222222222,44.6340277777778,0.908888888888889,369.077430555556,5.80048611111111,0
2010-01-13,0,0,34.5950694444444,8.39,0,11.8951388888889,6.99520833333333,51.0571527777778,1.039375,471.674583333333,34.96125,0
2010-01-14,0,0,14.5496527777778,2.4925,0,1.22506944444444,5.63881944444445,43.9125694444444,1.10666666666667,473.456527777778,40.7056944444445,0
2010-01-15,0,0,15.3654861111111,2.13805555555556,0,1.33715277777778,5.92270833333333,41.8686111111111,1.07256944444444,466.370416666667,37.4402777777778,0
2010-01-16,0,0,21.6452083333333,3.03583333333333,0,2.401875,6.43465277777778,39.0335416666667,1.21270833333333,470.512013888889,35.2313888888889,0
2010-01-17,0,0,32.2671527777778,3.24986111111111,0,1.65326388888889,5.57409722222222,45.5797222222222,0.684305555555556,472.934513888889,14.9334027777778,0
2010-01-18,0,0,38.3663194444444,6.62118055555556,0,5.06319444444445,5.80638888888889,41.4356944444444,0.809305555555556,472.642152777778,35.7259027777778,0
2010-01-19,0,0,37.5603472222222,6.43756944444445,0,9.24145833333333,6.58284722222222,44.2983333333333,0.808263888888889,471.684027777778,42.7991666666667,0
2010-01-20,0,0,54.5165972222222,9.94340277777778,0,13.8068055555556,7.47215277777778,56.8781944444444,0.750208333333333,470.115555555556,22.644375,0
2010-01-21,0,0,63.3141666666667,8.12604166666667,0,17.3420138888889,7.57916666666667,56.6761111111111,0.673263888888889,469.34,38.1441666666667,0
2010-01-22,0,0,73.9423611111111,11.7522916666667,0,14.9868055555556,8.02986111111111,56.3836805555556,0.571111111111111,469.756388888889,23.8118055555556,0
2010-01-23,0,0,64.5008333333333,10.2597916666667,0,18.6246527777778,9.21840277777778,54.3470138888889,0.719236111111111,467.839861111111,18.5053472222222,0
2010-01-24,0,0,38.4104861111111,8.47243055555556,0,28.3819444444444,7.67180555555556,40.356875,0.801111111111111,316.631666666667,14.7856944444444,0
2010-01-25,0,0,28.66625,5.59041666666667,0,17.2482638888889,8.34756944444444,37.2279166666667,0.691388888888889,310.115555555556,23.7630555555556,0
2010-01-26,0,0,23.5209722222222,5.13041666666667,0,12.3254166666667,7.44048611111111,42.6541666666667,0.467777777777778,310.16625,38.5123611111111,0
2010-01-27,0,0,28.511875,5.24381944444444,0,15.5052777777778,7.78666666666667,39.2876388888889,0.584236111111111,310.028055555556,36.4865972222222,0
2010-01-28,0,0,47.8159027777778,5.31236111111111,0,15.3245138888889,8.95666666666667,35.7072222222222,0.723194444444445,309.903958333333,23.2306944444444,0
2010-01-29,0,0,41.5845833333333,6.43993055555556,0,17.4733333333333,11.0327083333333,37.2230555555556,0.977638888888889,384.174236111111,24.1967361111111,0
2010-01-30,0,0,31.2345833333333,5.67298611111111,0,6.75194444444444,11.3316666666667,45.5614583333333,1.05729166666667,470.676805555556,42.0901388888889,0
2010-01-31,0,0,22.3279166666667,4.915,0,8.35222222222222,10.3761805555556,38.1093055555556,1.18673611111111,472.283819444444,41.0566666666667,0
2010-02-01,0,0,51.2784027777778,7.724375,0,6.99083333333333,10.6136111111111,41.4359027777778,0.740416666666667,470.633125,36.2977777777778,0
2010-02-02,0,0,34.5086111111111,6.03361111111111,0,11.9172916666667,10.6771527777778,43.7396527777778,0.946388888888889,470.717777777778,41.7295138888889,0
2010-02-03,0,0,31.7600694444444,6.23055555555556,0,15.1954861111111,10.6379861111111,40.8839583333333,1.13569444444444,470.274583333333,40.7943055555556,0
2010-02-04,0,0,24.4950694444444,3.38840277777778,0,4.59680555555556,11.3891666666667,34.9479166666667,1.17340277777778,469.990902777778,40.7604861111111,0
2010-02-05,0,0,29.271875,7.84,0,14.049375,11.8380555555556,37.27875,1.13305555555556,468.837083333333,40.1995833333333,0
2010-02-06,0,0,47.5104166666667,6.95840277777778,0,6.06097222222222,12.9319444444444,36.2199305555556,0.985138888888889,468.518194444444,36.026875,0
2010-02-07,0,0,80.4330555555556,8.363125,0,5.48354166666667,14.106875,36.9975694444444,0.869305555555556,468.729930555556,25.9216666666667,0
2010-02-08,0,0,38.235625,8.81090277777778,0,3.25506944444444,13.4788194444444,43.995,0.962986111111111,467.654722222222,22.986875,0
2010-02-09,0,0,31.34125,4.28479166666667,0,8.58430555555556,11.6065277777778,50.1022222222222,1.375625,467.410208333333,25.7471527777778,0
2010-02-10,0,0,27.7794444444444,5.39125,0,10.0789583333333,11.090625,53.4077083333333,0.847361111111111,471.312708333333,42.4563194444444,0
2010-02-11,0,0,33.4079166666667,6.65229166666667,0,16.9174305555556,10.7666666666667,43.9808333333333,1.85340277777778,479.428611111111,45.8498611111111,0
2010-02-12,0,0,45.5590972222222,12.1488194444444,0,18.6242361111111,11.4574305555556,47.3904861111111,4.09166666666667,493.441736111111,36.6535416666667,0
2010-02-13,0,0,52.6865972222222,7.83256944444445,0,13.6149305555556,11.7780555555556,50.1182638888889,3.62194444444445,493.015694444444,44.0623611111111,0
2010-02-14,0,0,26.1872916666667,4.594375,0,21.8390972222222,10.9218055555556,43.4572222222222,4.22715277777778,492.493194444445,44.4159722222222,0
2010-02-15,0,0,62.1049305555556,8.86520833333333,0,15.3046527777778,10.5820833333333,47.7879166666667,4.44395833333333,492.383888888889,17.87625,0
2010-02-16,0,0,77.1782638888889,14.1975,0,14.2552777777778,11.9560416666667,39.2915972222222,4.179375,492.737291666667,25.2839583333333,0
2010-02-17,11.3211805555556,0,45.4425694444444,6.32805555555556,0,12.1829166666667,10.4085416666667,38.2005555555556,3.09694444444444,479.693194444444,43.3191666666667,0
2010-02-18,22.6145833333333,0,32.3057638888889,6.09368055555556,0,17.6639583333333,11.5295138888889,31.1079861111111,1.94986111111111,492.885833333333,45.0309027777778,0
2010-02-19,22.9965277777778,0,32.2031944444445,6.29159722222222,0,21.5281944444444,11.2270833333333,35.1696527777778,0.346527777777778,493.084861111111,45.4504861111111,0
2010-02-20,0,0,24.8290972222222,5.84048611111111,0,17.2093055555556,11.9011111111111,36.2117361111111,0.344166666666667,493.027916666667,44.87,0
2010-02-21,0,0,27.6423611111111,6.310625,0,14.2268055555556,12.7000694444444,37.5477777777778,0.490972222222222,492.498055555556,37.8120833333333,0
